house
None
House Frey
House Swyft
House Arryn
House Santagar
House Targaryen
House Osgrey
Night's Watch
House Humble
House Wylde
House Wode
House Fell
Brotherhood Without Banners
House Webber
House Greyjoy
House Stark
House Waynwood
House Dayne
House Manderly
House Farwynd of the Lonely Light
Happy Port
House of Loraq
Kingswood Brotherhood
House Botley
Burned Men
House Velaryon
House Tallhart
House Tyrell
House Blackwood
House Blackfyre
wildling
Kingdom of the Three Daughters
House Royce of the Gates of the Moon
House Nayland
House Vance of Wayfarer's Rest
House Rowan
House Farrow
House Lonmouth
House Reyne
House Ashford
House Brax
House Paege
House Hollard
House Tarth
House Ryswell
House Lannister
House Crakehall
House Darklyn
House Westerling
House Weaver
House Connington
House Stout
House Harclay
House Drumm
House Crabb
Drowned men
Stormcrows
Antler Men
House Spicer
House Staunton
House Stonetree
House Leygood
House Bolton
House Sparr
House Fossoway of Cider Hall
House Varner
House Tarly
Peach
House Lynderly
House Ironmaker
House Martell
House Clegane
House Costayne
House Heddle
Stone Crows
House Ryger
Sea watch
Second Sons
Moon Brothers
House Baelish
Faceless Men
Brave Companions
House Frey of Riverrun
House Stokeworth
House Hightower
Band of Nine
House Oakheart
House Sharp
House Hunt
House Bracken
House Whent
House Dalt
House Charlton
House Butterwell
House Qorgyle
House Ambrose
Alchemists' Guild
House Bushy
House Blacktyde
House Beesbury
House Baratheon
House Bulwer
House Cafferen
House Smallwood
House Payne
House Buckler
House Tully
Black Ears
House Caswell
House Conklyn
House Greenhill
House Karstark
House Redfort
House Deddings
House Slynt
House Plumm
House Redwyne
House Manwoody
House Harlaw
House Risley
Faith of the Seven
Pureborn
House Codd
House Willum
House of Galare
R'hllor
House Morrigen
House Corbray
House Gaunt
House Goodbrother
Kingsguard
House Grafton
House Hornwood
House Grandison
House Sawyer
House Uffering
House Bolling
House Clifton
House Blackberry
Chataya's brothel
House Norcross
House Mallister
House Fossoway of New Barrel
House Swann
House Cupps
House Penny
House Penrose
House Umber
House Vance of Atranta
House Royce
House Tawney
Windblown
House Piper
House Serry
House Lorch
House Lefford
House Strong
House Roote
House Hardy
Queensguard
House Meadows
House Dondarrion
House Lothston
House Yew
House Mullendore
House Florent
House Mertyns
House Boggs
House Woods
House Inchfield
House Blackmont
House Pemford
House Kenning of Harlaw
House Shepherd
House Estermont
House Wynch
House Staedmon
House Seaworth
City Watch of King's Landing
House Cockshaw
House Graceford
House Stackspear
House Haigh
House Jast
House Farring
House Celtigar
House of Ghazeen
House Byrch
House Hawick
House Belmore
House Broom
House Brune of Brownhollow
House Cassel
House Rosby
House Harlaw of Harridan Hill
House Cuy
House Caron
House Cerwyn
House Vaith
House Vance
House Shett of Gull Tower
House Vypren
House Marbrand
House Hardyng
House Allyrion
House Locke
House Bar Emmon
House Mooton
House Norridge
House Hunter
House Hayford
House Glover
House Brune of the Dyre Den
House Prester
House Fowler
House Goodbrook
House Greenfield
House Gower
Blacks
House Hewett
House Borrell
House Peake
Citadel
Wise Masters
Good Masters
House Sunglass
House Grimm
The Citadel
House Mollen
House Hoare
House Rambton
House Harlaw of the Tower of Glimmering
House Wull
House Wagstaff
House Vyrwel
House Darry
House Lydden
House Bettley
House Myre
House Mormont
House Reed
House Kenning of Kayce
House of Pahl
House Turnberry
House Blackbar
House Woolfield
House Fossoway
House Mallery
House Chyttering
House Flint of Widow's Watch
House Lychester
House Vikary
House Selmy
House Volmark
House Merlyn
House Crane
House Sarsfield
House of Merreq
House Chester
House Jordayne
Iron Bank of Braavos
House Goodbrother of Shatterstone
House Toland
House Yronwood
House Kettleblack
House Wythers
House Norrey
House Foote
House Chelsted
House Banefort
House Ball
House Cox
House Ruttiger
House Estren
House Rykker
House Longwaters
House Thorne
House Moreland
House Flint
House Hogg
House Longthorpe
House Coldwater
House Leek
House Farman
House Harlaw of Harlaw Hall
House Templeton
House Wells
House Toyne
House Liddle
House Gargalen
House Mudd
House Farwynd
House Sunderland
House Hetherspoon
House Uller
House Wayn
House Tollett
House Poole
Maesters
House Blanetree
House Blount
Golden Company
Company of the Cat
House Suggs
Khal
House Nymeros Martell
House Drinkwater
House Harlaw of Grey Garden
Summer Islands
House Condon
House Moore
House Trant
House Yarwyck
Undying Ones
House Stonehouse
Thenn
House Hasty
House Cole
Graces
House Dayne of High Hermitage
Unsullied
House Strickland
House Bywater
House Massey
House Rhysling
House Potter
House Horpe
House of Kandaq
House of Reznak
House Peckledon
House Dustin
Mance Rayder
House Egen
House Merryweather
House Errol
Thirteen
House Erenford
House Grell
Three-eyed crow
